# Permission database for AdvancedLuckPermsGUI
# Format are <pluginName>|<permission>|<desc>|<commands>,|<defaultAssignment>
CMI|cmi.permisiononerror|Allows to see missing permission on error message|<l>empty<l>|op
CMI|cmi.placespawner|Allows to place spawner and keep its type|<l>empty<l>|op
CMI|cmi.placespawner.[entitytype]|Allows to place spawner by particular type and keep its type|<l>empty<l>|op
CMI|cmi.prewards.[prewardName]|Allows to get specific playtime reward. This feature should be enabled in config file. Disabled by default|<l>empty<l>|op
CMI|cmi.prewards.notification|Sets players security level|<l>empty<l>|op
CMI|cmi.randomteleport.cooldownbypass|Allows to bypass random teleport cooldown|<l>empty<l>|op
CMI|cmi.rank.[rankname]|Defines default player rank|<l>empty<l>|op
CMI|cmi.respawngroup.[respawngroup]|Defines player individual respawn point|<l>empty<l>|op
CMI|cmi.safeteleport|Prevents teleportation to unsafe locations|<l>empty<l>|op
CMI|cmi.safeteleport.bypass.[lava/void/suffocation/unknown/plugin/unsafeteleportation/noperm]|Allows to teleport into unsafe location without confirmation|<l>empty<l>|op
CMI|cmi.saveinv|Saves player inventory on death to be restored if needed later on|<l>empty<l>|op
CMI|cmi.scheduler.exclude|Excludes player from scheduler random player list|<l>empty<l>|op
CMI|cmi.scrollpainting|Allows to modify paintings|<l>empty<l>|op
CMI|cmi.security.admin|Sets players security level|<l>empty<l>|op
CMI|cmi.seevanished|Allows to see vanished people|<l>empty<l>|op
CMI|cmi.select|Allows to select with selection tool|<l>empty<l>|op
CMI|cmi.signs.shiftedit|Allows to edit signs with shift right click|<l>empty<l>|op
CMI|cmi.signs.shifteditbypass|Allows to edit signs on protected land|<l>empty<l>|op
CMI|cmi.silentchest.editing|Allows to edit chests while in silent open mode|<l>empty<l>|op
CMI|cmi.spawners.charge.[groupname]|Defines spawner charge group|<l>empty<l>|op
CMI|cmi.spawners.charge.bypass|Allows to bypass charge limitations|<l>empty<l>|op
CMI|cmi.spawners.proximity.bypass|Bypass spawner place range limitations|<l>empty<l>|op
CMI|cmi.spawngroup.[spawngroup]|Defines player individual spawn point|<l>empty<l>|op
CMI|cmi.tablist.[groupnumber]|Defines player custom tab list group|<l>empty<l>|op
CMI|cmi.tag.color|Tagged player name gets colorized|<l>empty<l>|op
CMI|cmi.teleport.bypassblacklist|Allows to bypass protection from teleporting with|<l>empty<l>|op
CMI|cmi.teleport.currentlocation|Allows to bypass protection from teleporting with blacklisted items|<l>empty<l>|op
CMI|cmi.teleport.with.[entitytype]|Allows teleportation with defined mount|<l>empty<l>|op
CMI|cmi.title.colors|Allows to use colors in titlemsg command|<l>empty<l>|op
CMI|cmi.versioncheck|Allows to see new version message on login|<l>empty<l>|op
CMI|cmi.viewrange|Allows to have custom view range|<l>empty<l>|op
CMI|cmi.viewrange.[range(1-15)]|Defines custom view range|<l>empty<l>|op
CMI|cmi.worldlimit.fly.aboveroof|Allows to fly over world build limit. Feature should be enabled in config file|<l>empty<l>|op
CMI|cmi.worldlimit.fly.bypass|Allows to bypass fly mode limitations by worlds|<l>empty<l>|op
CMI|cmi.worldlimit.gamemode.bypass|Allows to bypass game mode limitations by worlds|<l>empty<l>|op
CMI|cmi.worldlimit.god.bypass|Allows to bypass god mode limitations by worlds|<l>empty<l>|op
Captcha|captcha.notify|Allowed you to get notified when someone fails the Captcha|<l>empty<l>|op
Captcha|captcha.open.others|Opens a Captcha to a certain player|<l>/captcha PLAYER<l>|op
Captcha|captcha.override|Allows you to override the Captcha|<l>empty<l>|op
Captcha|captcha.reload|Reloads the configuration file |<l>/captcha reload<l>|op
ChatControl|chatcontrol|An unknown description|<l>empty<l>|op
ChatControl|chatcontrol.bypass.bookcommands|Player will be allowed to run commands from book even if this is prevented with the plugin.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.capitalize|Player's messages will not be capitalized.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.caps|Bypass check for CAPS.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.clear|Player's chat don't clears, they receive just one message instead.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.dupe.chat|Allow a player to send duplicate/similar messages.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.dupe.commands|Allow a player to send duplicate/similar commands.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.move|Allow player to chat even when they did not moved since joining the server.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.mute|Allow player to chat while the chat is muted.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.nicknames|Player will not be checked against disallowed nicknames defined in the antibot section in settings.yml.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.punctuate|No dot will not be inserted after player's messages.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.rejoin|Bypass rejoin check.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.replace|Player's messages will not be replaced from setPlaceholders lists in chat.yml.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.rules|Allow player to bypass custom rules and handlers.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.signduplication|Allow player to make multiple signs with same text.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.spamkick|Allow player to bypass vanilla's "disconnect.spam" kick when sending messages too quickly.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.spy|To exempt players' commands being logged and exposed in the /spy command for the staff.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.tabcomplete|Allow player to tab complete. If you are using Spigot it is highly recommended to disable this feature and use the inbuilt one in spigot.yml|<l>empty<l>|op
ChatControl|chatcontrol.bypass.time.chat|Bypass chat message delay.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.time.commands|Bypass command message delay.|<l>empty<l>|op
ChatControl|chatcontrol.bypass.warnpoints|The player wil not receive warning points.|<l>empty<l>|op
ChatControl|chatcontrol.chat.format.bold|Permission to use '&l' character to make messages bold.|<l>empty<l>|op
ChatControl|chatcontrol.chat.format.color|Permission to use colors 1-9 and a-f with the '&' character.|<l>empty<l>|op
ChatControl|chatcontrol.chat.format.italic|Permission to use '&o' character make the messages italics.|<l>empty<l>|op
ChatControl|chatcontrol.chat.format.magic|Permission to use '&k' magic character.|<l>empty<l>|op
ChatControl|chatcontrol.chat.format.reset|Permission to use '&r' character to reset the chat color.|<l>empty<l>|op
ChatControl|chatcontrol.chat.format.strikethrough|Permission to use '&m' character to strikethrough the messages.|<l>empty<l>|op
ChatControl|chatcontrol.chat.format.underline|Permission to use '&n' character to underline the messages.|<l>empty<l>|op
ChatControl|chatcontrol.chat.global|Permission to speak in global chat when chat range is enabled and message starts with '!'.|<l>empty<l>|op
ChatControl|chatcontrol.chat.overrideranged|Permission speak for all players in the entire world when ranged mode is enabled.|<l>empty<l>|op
ChatControl|chatcontrol.chat.spy|Permission to receive everyone's messages when ranged mode is enabled.|<l>empty<l>|op
ChatControl|chatcontrol.command.addrule|Ability to create new rules with command.|<l>/chc addrule<l>|op
ChatControl|chatcontrol.command.adminchat|Writing to admin chat using "/chc ach" command.|<l>/chc ach<l>|op
ChatControl|chatcontrol.command.announce|Announce messages with "/chc announce" command|<l>/chc announce<l>|op
ChatControl|chatcontrol.command.calc|Use inbuilt calculator with "/chc calc" command.|<l>/chc calc<l>|op
ChatControl|chatcontrol.command.channels|Basic permission required for "/channel" command.|<l>/channel<l>|op
ChatControl|chatcontrol.command.channels.help|List all commands regarding channels with "/channel help" command.|<l>/channel help<l>|op
ChatControl|chatcontrol.command.channels.join|Join a channel with "/channel join" command.|<l>/channel join<l>|op
ChatControl|chatcontrol.command.channels.leave|Leave a channel with "/channel leave" command.|<l>/channel leave<l>|op
ChatControl|chatcontrol.command.channels.list|List all channels with "/channel list" command.|<l>/channel list<l>|op
ChatControl|chatcontrol.command.channels.players|View all players in a channel with "/channel players" command.|<l>/channel players<l>|op
ChatControl|chatcontrol.command.channels.send|Send messages to a channel with "/channel send" command.|<l>/channel send<l>|op
ChatControl|chatcontrol.command.channels.set|Enforce a new channel to a player one with "/channel set" command.|<l>/channel set<l>|op
ChatControl|chatcontrol.command.channels.spy|See all messages in a channel with "/channel spy" command.|<l>/channel spy<l>|op
ChatControl|chatcontrol.command.clear|Clearing game chat with "/chc clear" command.|<l>/chc clear<l>|op
ChatControl|chatcontrol.command.fake|Broadcasting fake join/kick/leave messages with "/chc fake" command.|<l>/chc fake<l>|op
ChatControl|chatcontrol.command.globalchat|Sending messages over bungee with "/chc global" command. Players still need chatcontrol.notify.globalchat permission to see the messages (which is given by default).|<l>/chc global<l>|op
ChatControl|chatcontrol.command.ignore|Ability to let players to decide to (not) receive certain messages caught by rules.|<l>/chc ignore<l>|op
ChatControl|chatcontrol.command.import|Importing rules from a file using "/chc import" command.|<l>/chc import<l>|op
ChatControl|chatcontrol.command.inspect|Analyse methods or fields in a class with "/chc inspect" command.|<l>/chc inspect<l>|op
ChatControl|chatcontrol.command.list|Displaying help for the plugin with "/chc list" command.|<l>/chc list<l>|op
ChatControl|chatcontrol.command.mute|Mute game chat with "/chc mute" command.|<l>/chc mute<l>|op
ChatControl|chatcontrol.command.mute.anonymous|Mute without broadcasting player who muted the chat with "/chc mute -anonymous" command.|<l>/chc mute -anonymous<l>|op
ChatControl|chatcontrol.command.mute.silent|Mute without broadcasting any message with "/chc mute -silent" command.|<l>/chc mute -silent<l>|op
ChatControl|chatcontrol.command.points|View player's warning points with "/chc points" command.|<l>/chc points<l>|op
ChatControl|chatcontrol.command.reload|Reloading the configuration with "/chc reload" command.|<l>/chc reload<l>|op
ChatControl|chatcontrol.command.reply|Reply to last received private message with "/reply" command.|<l>/reply<l>|op
ChatControl|chatcontrol.command.reply.console|Reply to last received private message that was received from the server console.|<l>empty<l>|op
ChatControl|chatcontrol.command.spy|View commands executed by other players with "/spy" command.|<l>/spy<l>|op
ChatControl|chatcontrol.command.tell|Issue a private message with "/tell" command.|<l>/tell<l>|op
ChatControl|chatcontrol.command.tell.console|Issue a private message to the server console.|<l>empty<l>|op
ChatControl|chatcontrol.messages.death|This permissions control if the player can view those type of messages. Given to everyone by default. Give negative permissions (e.g. "-chatcontrol.messages.join") to hide a type of message for a player.|<l>empty<l>|op
ChatControl|chatcontrol.messages.join|This permissions control if the player can view those type of messages. Given to everyone by default. Give negative permissions (e.g. "-chatcontrol.messages.join") to hide a type of message for a player.|<l>empty<l>|op
ChatControl|chatcontrol.messages.kick|This permissions control if the player can view those type of messages. Given to everyone by default. Give negative permissions (e.g. "-chatcontrol.messages.join") to hide a type of message for a player.|<l>empty<l>|op
ChatControl|chatcontrol.messages.quit|This permissions control if the player can view those type of messages. Given to everyone by default. Give negative permissions (e.g. "-chatcontrol.messages.join") to hide a type of message for a player.|<l>empty<l>|op
ChatControl|chatcontrol.notify.announcements|Receive announcements issued by "/chc announce". True for everyone by default.|<l>empty<l>|op
ChatControl|chatcontrol.notify.globalchat|Receive messages sent by "/chc global"|<l>empty<l>|op
ChatControl|chatcontrol.notify.outofrange|Get notified when nobody sees your message in ranged chat because it's too far away.|<l>empty<l>|op
ChatControl|chatcontrol.notify.signduplication|Receive a warning when a player makes multiple signs with the same text.|<l>empty<l>|op
ChatControl|chatcontrol.notify.update|Receive a warning when a new version of plugin is available.|<l>empty<l>|op
ChatControl|chatcontrol.notify.whenmentioned|Receive a sound warning when somebody mentions you in the chat.|<l>empty<l>|op
ChatItem|chatiem.ignore.cooldown|allows you to bypass the message cooldown (if enabled) |<l>empty<l>|op
ChatItem|chatitem.reload|allows you to reload the config|<l>/cireload<l>|op
ChatItem|chatitem.use|allows your messages to be parsed by the plugin also {item}|<l>empty<l>|op
ChestCommands|chestcommands.command.help|List of commands.|<l>/c help<l>|op
ChestCommands|chestcommands.command.list|List of correctly loaded menus.|<l>/c list<l>|op
ChestCommands|chestcommands.command.open|Open any menu loaded by the plugin directly. You also need the permissions for the menu itself.|<l>/c open <file><l>|op
ChestCommands|chestcommands.command.open.others|Opens a menu for another player. It will give you access to all the menus|<l>/c open <file> [player]<l>|op
ChestCommands|chestcommands.command.reload|Reloads the plugin.|<l>/c reload<l>|op
ChestCommands|chestcommands.economy.bypass|Bypass economy costs|<l>empty<l>|op
ChestCommands|chestcommands.sign|Required to create menu signs.|<l>empty<l>|op
ChestCommands|chestcommands.update|Receive update notifications on join.|<l>empty<l>|op
ChestProtect|chestprotect.*|Grants all permissions from the plugin|<l>empty<l>|op
ChestProtect|chestprotect.admin.*|Grants all admin permissions from the plugin|<l>empty<l>|op
ChestProtect|chestprotect.admin.command.*|Grants access to all admin commands from the plugin|<l>empty<l>|op
ChestProtect|chestprotect.admin.command.import|Ability to use the import command (imports data from other plugins)|<l>/protect admin import<l>|op
ChestProtect|chestprotect.admin.command.player|Ability to use the admin player command|<l>/protect admin player<l>|op
ChestProtect|chestprotect.admin.command.player.delete|Ability to use the admin player delete command|<l>/protect admin player delete<l>|op
ChestProtect|chestprotect.bypass.*|Grants all bypass permissions from the plugin|<l>empty<l>|op
ChestProtect|chestprotect.bypass.delete|Ability to delete protections of other players|<l>empty<l>|op
ChestProtect|chestprotect.bypass.edit|Ability to edit protections of other players|<l>empty<l>|op
ChestProtect|chestprotect.bypass.open|Ability to access protections of other players|<l>empty<l>|op
ChestProtect|chestprotect.command.*|Grants all command permissions from the plugin|<l>empty<l>|op
ChestProtect|chestprotect.command.exit|Ability to use the exit command (disables the current mode)|<l>/protect exit<br>/exit<l>|op
ChestProtect|chestprotect.command.help|Ability to use the help command (shows plugin help)|<l>/protect help<l>|op
ChestProtect|chestprotect.command.lock|Ability to use the lock command (toggles lock mode)|<l>/protect lock<br>/lock<l>|op
ChestProtect|chestprotect.command.setrole|Ability to use the setrole command (toggles setrole mode)|<l>/protect setrole<br>/setrole<l>|op
ChestProtect|chestprotect.command.trust|Ability to use the trust command (toggles trust mode)|<l>/protect trust<br>/trust<l>|op
ChestProtect|chestprotect.command.unlock|Ability to use the unlock command (toggles unlock mode)|<l>/protect unlock<br>/unlock<l>|op
ChestProtect|chestprotect.command.untrust|Ability to use the untrust command (toggles untrust mode)|<l>/protect untrust<br>/untrust<l>|op
ChestProtect|chestprotect.members.[number]|Specifies the max amount of members a protection can have|<l>empty<l>|op
ChestProtect|chestprotect.protections.[number]|Specifies the max amount of protections a player can have|<l>empty<l>|op
ChestProtect|chestprotect.setting.*|Grants access to all protection and player settings|<l>empty<l>|op
ChestProtect|chestprotect.setting.player.*|Grants access to all player settings|<l>empty<l>|op
ChestProtect|chestprotect.setting.player.lock_persistent|Ability to toggle the lock persistent setting|<l>empty<l>|op
ChestProtect|chestprotect.setting.player.setrole_persistent|Ability to toggle the setrole persistent setting|<l>empty<l>|op
ChestProtect|chestprotect.setting.player.trust_persistent|Ability to toggle the trust persistent setting|<l>empty<l>|op
ChestProtect|chestprotect.setting.player.unlock_persistent|Ability to toggle the unlock persistent setting|<l>empty<l>|op
ChestProtect|chestprotect.setting.player.untrust_persistent|Ability to toggle the untrust persistent setting|<l>empty<l>|op
ChestProtect|chestprotect.setting.protection.*|Grants access to all protection settings|<l>empty<l>|op
ChestProtect|chestprotect.setting.protection.player_setrole|Ability to toggle the player setrole setting|<l>empty<l>|op
ChestProtect|chestprotect.setting.protection.player_trust|Ability to toggle the player trust setting|<l>empty<l>|op
ChestProtect|chestprotect.setting.protection.player_untrust|Ability to toggle the player untrust setting|<l>empty<l>|op
ChestSort|chestsort.use|Defines if automatic chest sorting is enabled and grants the ability to use the chestsort command|<l>/chestsort<br> /sort<l>|op
ChestSort|chestsort.use.inventory|Ability to use the invsort command|<l>/invsort<br> /isort<br> /invsort hotbar<br> /isort hotbar<br> /invsort all<br> /isort all<l>|op
CityRP|cityrp.*|All CityRP commands|<l>/namechange<br>/delchar<br>/setday<br>/settime<br>/edit<br>/addvm<br>/removevm<br>/y<br>/999<br>/911<br>/me<br>/chat<br>//<br>/gr<br>/w<br>/r<br>/addmoney<br>/config<l>|op
CityRP|cityrp.addmoney|Allows you to add money to player's bank accounts|<l>/addmoney<l>|op
CityRP|cityrp.addvm|Allows you to add a vending machine|<l>/addvm<l>|op
CityRP|cityrp.chat|Allows you to view the chat commands|<l>empty<l>|op
CityRP|cityrp.chat.*|Gives access to all Chat commands|<l>/chat<br>//<br>/gr<br>/w<br>/r<l>|op
CityRP|cityrp.chat.chat|Allows you to view all chat sent by players|<l>empty<l>|op
CityRP|cityrp.chat.commands|Allows you to view all the commands sent by players|<l>empty<l>|op
CityRP|cityrp.chat.texts|Allows you to view all text sent by players|<l>empty<l>|op
CityRP|cityrp.config|Allows the editing of the config in game|<l>/config<l>|op
CityRP|cityrp.delchar|Delete a player's character|<l>/delchar<l>|op
CityRP|cityrp.edit|Edit the map |<l>/edit<l>|op
CityRP|cityrp.emergancy|Allows you to use /911 or /999 to call an Emergancy Report|<l>/911<br>/999<l>|op
CityRP|cityrp.gr|Allows you to talk in the government radio|<l>/gr<l>|op
CityRP|cityrp.me|Allows you to use /me for roleplaying|<l>/me<l>|op
CityRP|cityrp.namechange|Allows you to force a player to change their name|<l>/namechange<l>|op
CityRP|cityrp.ooc|Allows you to talk in Out Of Character|<l>//<l>|op
CityRP|cityrp.removevm|Allows you to remove a vending machine|<l>/removevm<l>|op
CityRP|cityrp.reply|Allows you to reply to a previous text|<l>/r<l>|op
CityRP|cityrp.setday|Allows you to change the current day|<l>/setday<l>|op
CityRP|cityrp.settime|Change the current time|<l>/settime<l>|op
CityRP|cityrp.whisper|Allows you to whisper to nearby players|<l>/w<l>|op
CityRP|cityrp.yell|Allows you to yell to nearby players (16 Blocks)|<l>/y<l>|op
ClanSystem|ClanSystem.Options|Allows People To Open The Admin Panel|<l>/Options<l>|op
ClearLag|lagg.admin|Allows players to Manage clearlag's modules.|<l>/lagg admin<l>|op
ClearLag|lagg.area|Allows players to Remove entities within given radius.|<l>/lagg area <radius><l>|op
ClearLag|lagg.check|Allows players to count all entities.|<l>/lagg check [worldName]<l>|op
ClearLag|lagg.chunk|Allows players to Locate possible laggy chunks.|<l>/lagg chunk [amount]<l>|op
ClearLag|lagg.clear|Allows players to clear entities.|<l>/lagg clear<l>|op
ClearLag|lagg.gc|Allows players to Attempt to free memory.|<l>/lagg gc<l>|op
ClearLag|lagg.halt|Temporary disable basic server functions (mob spawning and so on).|<l>/lagg clear<l>|op
ClearLag|lagg.help|Allows players to see helpful page.|<l>/lagg<l>|op
ClearLag|lagg.killmobs|Allows players to Kill mobs.|<l>/lagg killmobs<l>|op
ClearLag|lagg.reload|Allows players to Reloads schedulers/config.|<l>/lagg reload<l>|op
ClearLag|lagg.tpchunk|Allows players to Teleport to chunks.|<l>/lagg tpchunk <x> <z> <world><l>|op
ClearLag|lagg.tps|Allows players to view current tps.|<l>/lagg tps<l>|op
ClearLag|lagg.unloadchunks|Allows players to Unload un-needed chunks.|<l>/lagg unloadchunks<l>|op
Coins|coins.admin|Give access to all admin commands.|<l>empty<l>|op
CommandDoesNotExist|cdne.[command]|Ability to bypass the command block|<l>empty<l>|op
CommandDoesNotExist|cdne.list.list|Ability to use the list command (lists all currently blocked commands and words)|<l>/cdne list<l>|op
CommandDoesNotExist|cdne.list.modify|Ability to use the add and remove command (adds and removes commands and words from the blocked list)|<l>/cdne add<br>/cdne remove<l>|op
Confiscate|confiscate.bypass.inventory|Permission to bypass inventory scan, e.g. when they log in or change world.|<l>empty<l>|op
Confiscate|confiscate.bypass.stacks|Permission to allow items stacked unnaturally (e.g. 64x minecarts).|<l>empty<l>|op
Confiscate|confiscate.bypass.worldedit|Permission to bypass item limit for WorldEdit operations. Since some  operations work with thousands of items, we do not allow only certain items  to be bypassed because of the performance impact could freeze the server.|<l>empty<l>|op
Confiscate|confiscate.commands.inv|Access the /c inv command|<l>/c inv<l>|op
Confiscate|confiscate.commands.inv.armor|View armor content of other online and offline players.|<l>empty<l>|op
Confiscate|confiscate.commands.inv.enderview|View ender chest of other online and offline players.|<l>empty<l>|op
Confiscate|confiscate.commands.inv.view|View inventories of other online and offline players.|<l>empty<l>|op
Confiscate|confiscate.commands.inv.write|Permission to manipulate with the content of inventories or armor. Defaults to false, that means that the viewer only sees the content as it is.|<l>empty<l>|op
Confiscate|confiscate.commands.list|Access the /c list command to browse all commands of this plugin.|<l>empty<l>|op
Confiscate|confiscate.commands.log|Access the /c log command.|<l>empty<l>|op
Confiscate|confiscate.commands.log.browse|Browse players' log.|<l>empty<l>|op
Confiscate|confiscate.commands.log.stats|View stored log statistics.|<l>/c log stats<l>|op
Confiscate|confiscate.commands.reload|Access the /c reload command to reload the configuration.|<l>empty<l>|op
Confiscate|confiscate.commands.room|Access the /c room command.|<l>empty<l>|op
Confiscate|confiscate.commands.room.tool|Obtain the room tool that sets room's foundation.|<l>empty<l>|op
Confiscate|confiscate.commands.room.tp|Be teleported to the chest room.|<l>empty<l>|op
Confiscate|confiscate.commands.stats|View stored log statistics.|<l>empty<l>|op
Confiscate|confiscate.exempt.commandspy|Player will be ignored from command spy.|<l>empty<l>|op
Confiscate|confiscate.notify.commandspy|Permission to receive alerts when a command is executed.|<l>empty<l>|op
Confiscate|confiscate.notify.confiscate|Permission to be notified when something is confiscated.|<l>empty<l>|op
Confiscate|confiscate.notify.updates|Permission to receive alerts on join when a new version is available.|<l>empty<l>|op
Confiscate|confiscate.room.open|Permission to open chests in the chest room.|<l>empty<l>|op
Confiscate|confiscate.room.signs|Permission to view player logs by clicking on their sign in the chest room.|<l>empty<l>|op
Confiscate|confiscate.room.tool|Permission to use the room foundation tool.|<l>empty<l>|op
CoreProtect|coreprotect.*|Allows access to all of the CoreProtect commands.|<l>/co help<br>/co inspect<br>/co rollback<br>/co restore<br>/co lookup<br>/co purge<br>/co reload<br>/co version<br>/co near<br>/co undo<br>/co status<l>|op
CoreProtect|coreprotect.co|Allows access to the CoreProtect "/co" command.|<l>/co<l>|op
CoreProtect|coreprotect.core|Allows access to the CoreProtect "/core" command.|<l>/core<l>|op
CoreProtect|coreprotect.coreprotect|Allows access to the CoreProtect "/coreprotect" command.|<l>/coreprotect<l>|op
CoreProtect|coreprotect.help|Allows access to the CoreProtect help command.|<l>/co help<l>|op
CoreProtect|coreprotect.inspect|Allows access to the CoreProtect inspect command.|<l>/co inspect<l>|op
CoreProtect|coreprotect.lookup|Allows access to the CoreProtect lookup command.|<l>/co lookup<l>|op
CoreProtect|coreprotect.lookup.block|Can be optionally used as a negative permission to prevent block lookups.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.chat|Can be optionally used as a negative permission to prevent chat lookups.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.click|Can be optionally used as a negative permission to prevent interaction lookups.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.command|Can be optionally used as a negative permission to prevent command lookups.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.container|Can be optionally used as a negative permission to prevent container lookups.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.kill|Can be optionally used as a negative permission to prevent entity kill lookups.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.near|Can be optionally used as a negative permission to prevent lookups via the near command.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.session|Can be optionally used as a negative permission to prevent session lookups.|<l>empty<l>|op
CoreProtect|coreprotect.lookup.username|Can be optionally used as a negative permission to prevent username change lookups.|<l>empty<l>|op
CoreProtect|coreprotect.purge|Allows access to the CoreProtect purge command.|<l>/co purge<l>|op
CoreProtect|coreprotect.reload|Allows access to the CoreProtect reload command.|<l>/co reload<l>|op
CoreProtect|coreprotect.restore|Allows access to the CoreProtect restore command.|<l>/co restore<l>|op
CoreProtect|coreprotect.rollback|Allows access to the CoreProtect rollback command.|<l>/co rollback<l>|op
CoreProtect|coreprotect.status|Allows access to the CoreProtect status command.|<l>/co status<l>|op
CratesPlus|cratesplus.admin|Access to all /crate commands. Defaults to OP.|<l>/crate settings<br>/crate reload<br>/crate create<br>/crate rename<br>/crate delete<br>/crate crate<br>/crate key<l>|op
CratesPlus|cratesplus.updates|Any player with this permission will be notified of updates. Defaults to OP.|<l>empty<l>|op
CrazyCrates|CrazyCrates.Access|Opens the GUI, Lists all the Commands.|<l>/CC Help<br>/CC<l>|op
CrazyCrates|CrazyCrates.Admin|Allow to able all Admin commands.|<l>/CC Admin<br>/CC List<br>/CC Tp<br>/CC Give<br>/CC GiveAll<br>/CC Create<br>/CC Set<br>/CC Remove<br>/CC Reload<l>|op
CrazyEnchantments|crazyenchantments.access|Opens the GUI.|<l>/CE<br>/CE help<l>|op
CrazyEnchantments|crazyenchantments.add|Adds and enchantment to the item in your hand.|<l>/CE Add<l>|op
CrazyEnchantments|crazyenchantments.admin|Allows you to access all commands.|<l>empty<l>|op
CrazyEnchantments|crazyenchantments.aurabypass|Bypass all the aura enchantment effects. Good for staff so when watching players.|<l>empty<l>|op
CrazyEnchantments|crazyenchantments.blacksmith|Opens ytb the Black Smith.|<l>/BlackSmith<l>|op
CrazyEnchantments|crazyenchantments.book|Gives a player a Enchantment Book.|<l>/CE Book<l>|op
CrazyEnchantments|crazyenchantments.bypass|Bypass the gkit cooldowns.|<l>empty<l>|op
CrazyEnchantments|crazyenchantments.crystal|Gives a player Protection Crystal.|<l>/CE Crystal<l>|op
CrazyEnchantments|crazyenchantments.dust|Give a player a some Magical Dust.|<l>/CE Dust<l>|op
CrazyEnchantments|crazyenchantments.info|Shows info on all Enchantments.|<l>/CE Info<l>|op
CrazyEnchantments|crazyenchantments.lostbook|Gives a player a Lost Book.|<l>/CE LostBook<l>|op
CrazyEnchantments|crazyenchantments.reload|Reloads the Config.yml.|<l>/CE Reload<l>|op
CrazyEnchantments|crazyenchantments.remove|Removes an enchantment from the item in your hand.|<l>/CE Remove<l>|op
CrazyEnchantments|crazyenchantments.reset|Reset a players gkit cooldown.|<l>/GKitz Reset<l>|op
CrazyEnchantments|crazyenchantments.scrambler|Gives a player Scramblers.|<l>/CE Scrambler<l>|op
CrazyEnchantments|crazyenchantments.scroll|Gives a player scrolls.|<l>/CE Scroll<l>|op
CrazyEnchantments|crazyenchantments.sign|Allows the player to make sign shops.|<l>empty<l>|op
CrazyEnchantments|crazyenchantments.spawn|Drops an enchantment book where you tell it to.|<l>/CE Spawn<l>|op
CrazyEnchantments|crazyenchantments.tinker|Opens ytb the Tinkerer.|<l>/Tinker<l>|op
CreditCard|creditcard.use.auto|Permission to auto pay loan|<l>/CreditCard auto<l>|op
CreditCard|creditcard.use.basic|Includes Basic Permissions to creditcard|<l>/creditcard loan<br>/creditcard owe<br>/creditcard pay <br>/creditcard forget<br>/creditcard createUser<br>/creditcard auto<l>|op
CreditCard|creditcard.use.forgot|Permission to retrive your pin number|<l>/CreditCard forgot<l>|op
CreditCard|creditcard.use.gui|Permission to use the GUI inventory to take loans and others|<l>/CreditCard gui<l>|op
CreditCard|creditcard.use.loan|Permission to take out a loan.|<l>/CreditCard loan<l>|op
CreditCard|creditcard.use.loan.defaultamount|Permission to have $500 or less debt.|<l>empty<l>|op
CreditCard|creditcard.use.loan.rankfive|Permission to owe $5000 or less debt.|<l>empty<l>|op
CreditCard|creditcard.use.loan.rankfour|Permission to owe $4000 or less debt.|<l>empty<l>|op
CreditCard|creditcard.use.loan.rankone|Permission to owe $1000 or less debt.|<l>empty<l>|op
CreditCard|creditcard.use.loan.ranksix|Permission to owe $6000 or less debt.|<l>empty<l>|op
CreditCard|creditcard.use.loan.rankthree|Permission to owe $3000 or less debt.|<l>empty<l>|op
CreditCard|creditcard.use.loan.ranktwo|Permission to owe $2000 or less debt.|<l>empty<l>|op
CreditCard|creditcard.use.owe|Permission to see the amount you owe.|<l>/CreditCard owe<l>|op
CreditCard|creditcard.use.pay|Permission to pay back the amount you owe.|<l>/CreditCard pay<l>|op
CreditCard|creditcard.use.reg|Permission to createUser for a credit-card.|<l>/CreditCard createUser<l>|op
